Name,year,Esrp,Genre,rate,vote,country,company,Global_Sales
Zeruda no densetsu: Kamigami no toraifôsu,1991,Everyone,Fantasy,9.3,3000,Japan,Nintendo Entertainment Analysis and Development (EAD) (I),11.66
The Secret of Monkey Island,1990,Everyone,Fantasy,9.3,3000,United States,Lucasfilm Games,11.4
Monkey Island 2: LeChuck's Revenge,1991,Not Rated,Fantasy,9.3,2000,United States,LucasArts Entertainment Company,11.36
Higurashi: When They Cry Kai,2004,Not Rated,Mystery,9.2,47,Japan,Unknown,11.18
Ghost of Tsushima,2020,Mature,Drama,9.2,8000,United States,Sucker Punch Productions,11.01
Spider-Man,2018,Teen,Fantasy,9.2,20000,United States,Insomniac Games,10.95
Batman: Return to Arkham,2016,Teen,Crime,9.2,1000,United Kingdom,Rocksteady Studios,10.87
Detroit: Become Human,2018,Mature,Drama,9.2,17000,France,Quantic Dream,10.7
Kidou Butoden G-Gundam,1994,Not Rated,Action,9.2,7,Japan,Unknown,10.6
Bloodborne,2015,Mature,Fantasy,9.2,5000,Japan,From Software,10.55
Kingdom Hearts HD 2.5 Remix,2014,Everyone10+,Family,9.2,852,Japan,Square Enix Company,10.51
The Orange Box,2007,Mature,Comedy,9.2,691,United States,Valve,10.49
The Walking Dead: The Game - Season 1,2012,Mature,Sci-Fi,9.2,13000,United States,Telltale Games,10.31
Scarface: Money. Power. Respect.,2006,Mature,Action,9.2,81,United States,PlayStation Portable,10.28
GTAV,2013,Not Rated,Drama,9.2,133,Unknown,Rockstar New York,10.12
Fire Pro Wrestling World,2017,Not Rated,Action,9.2,5,Japan,Unknown,10.05
The Great Ace Attorney 2: Resolve,2017,Not Rated,Unknown,9.2,47,Japan,Capcom Company,9.9
Disco Elysium - The Final Cut,2021,Mature,Drama,9.2,332,United Kingdom,Unknown,9.87
It Takes Two,2021,Teen,Drama,9.2,2000,Sweden,Hazelight Studios,9.77
Omori,2020,Mature,Fantasy,9.2,358,Unknown,Unknown,9.72
Persona 4,2008,Mature,Fantasy,9.2,1000,Japan,Atlus,9.49
Rain World,2017,Everyone10+,Fantasy,9.2,12,United States,Videocult,9.44
Batman: Arkham Asylum,2009,Teen,Crime,9.2,27000,United Kingdom,DC Comics,9.37
Horizon: Forbidden West,2022,Teen,Mystery,9.2,2000,Netherlands,Guerrilla Games,9.35
Phoenix Wright: Ace Attorney Trilogy,2019,Teen,Crime,9.2,102,Japan,Capcom Company,9.34
Battle Through the Heavens,2018,Not Rated,Unknown,9.2,25,China,Tencent Games,9.3
Hoko no yuusha no nariagari: Relive the Animation,2019,Not Rated,Adventure,9.2,6,Japan,Unknown,9.3
Trogdor!,2003,Not Rated,Fantasy,9.2,6,United States,Videlectrix,9.07
Mass Effect,2007,Mature,Drama,9.2,18000,United States,Bioware,8.91
God of War II,2007,Mature,Fantasy,9.2,9000,United States,SCEA Santa Monica Studios,8.84
Biohazard 4,2005,Mature,Fantasy,9.2,13000,Japan,Armature Studio,8.76
Mafia: The City of Lost Heaven,2002,Mature,Drama,9.2,5000,Czech Republic,Illusion Softworks,8.6
Kingdom Hearts,2002,Everyone,Family,9.2,7000,Japan,Disney Interactive Japan,8.49
Grand Theft Auto: Vice City,2002,Mature,Drama,9.2,26000,United Kingdom,Rockstar North,8.39
Metal Gear Solid: Integral,1999,Not Rated,Drama,9.2,359,Japan,Konami Computer Entertainment,8.28
Max Payne,2001,Mature,Drama,9.2,15000,Finland,Remedy Entertainment,8.21
Deus Ex,2000,Mature,Drama,9.2,3000,United States,Eidos Interactive,8.17
Akumajo Dracula X: Gekka no Yasokyoku,1997,Teen,Fantasy,9.2,1000,Japan,Konami Computer Entertainment,8.09
